iter	Passed	Remaining
997	51909	10506
998	51947	10451
999	51985	10397
1000	52039	10345
1001	52094	10294
1002	52133	10239
1003	52177	10185
1004	52241	10136
1005	52295	10084
1006	52339	10031
1007	52379	9977
1008	52435	9925
1009	52483	9873
1010	52537	9821
1011	52587	9769
1012	52639	9717
1013	52692	9665
1014	52745	9613
1015	52790	9560
1016	52832	9506
1017	52883	9454
1018	52938	9403
1019	52988	9350
1020	53036	9298
1021	53083	9245
1022	53144	9195
1023	53187	9141
1024	53234	9088
1025	53281	9036
1026	53350	8987
1027	53392	8933
1028	53442	8881
1029	53487	8828
1030	53537	8775
1031	53589	8723
1032	53634	8670
1033	53679	8617
1034	53722	8564
1035	53772	8512
1036	53811	8458
1037	53853	8404
1038	53894	8351
1039	53941	8298
1040	53975	8244
1041	54014	8190
1042	54066	8138
1043	54112	8085
1044	54154	8032
1045	54195	7979
1046	54254	7928
1047	54308	7876
1048	54358	7824
1049	54406	7772
1050	54477	7723
1051	54534	7672
1052	54577	7619
1053	54624	7566
1054	54673	7514
1055	54718	7461
1056	54776	7410
1057	54829	7358
1058	54874	7306
1059	54913	7252
1060	54958	7200
1061	54992	7145
1062	55040	7093
1063	55087	7041
1064	55139	6989
1065	55189	6937
1066	55232	6884
1067	55277	6832
1068	55318	6779
1069	55359	6725
1070	55414	6674
1071	55460	6622
1072	55517	6571
1073	55555	6517
1074	55612	6466
1075	55661	6414
1076	55715	6363
1077	55758	6310
1078	55815	6259
1079	55857	6206
1080	55915	6155
1081	55965	6103
1082	56013	6051
1083	56069	6000
1084	56119	5948
1085	56169	5896
1086	56216	5844
1087	56270	5792
1088	56315	5740
1089	56352	5686
1090	56401	5635
1091	56442	5582
1092	56492	5530
1093	56554	5479
1094	56614	5428
1095	56667	5377
1096	56708	5324
1097	56762	5272
1098	56803	5220
1099	56841	5167
1100	56913	5117
1101	56959	5065
1102	57023	5014
1103	57080	4963
1104	57147	4913
1105	57203	4861
1106	57256	4810
1107	57311	4758
1108	57385	4708
1109	57439	4657
1110	57486	4605
1111	57531	4552
1112	57586	4501
1113	57669	4452
1114	57732	4401
1115	57796	4350
1116	57833	4297
1117	57888	4245
1118	57948	4194
1119	58017	4144
1120	58077	4092
1121	58136	4041
1122	58200	3990
1123	58247	3938
1124	58308	3887
1125	58352	3834
1126	58416	3783
1127	58475	3732
1128	58523	3680
1129	58570	3628
1130	58620	3576
1131	58673	3524
1132	58718	3472
1133	58769	3420
1134	58833	3369
1135	58901	3318
1136	58951	3266
1137	59024	3215
1138	59072	3163
1139	59129	3112
1140	59178	3060
1141	59227	3008
1142	59277	2956
1143	59326	2904
1144	59374	2852
1145	59417	2799
1146	59484	2748
1147	59529	2696
1148	59581	2644
1149	59620	2592
1150	59673	2540
1151	59720	2488
1152	59771	2436
1153	59827	2384
1154	59884	2333
1155	59956	2282
1156	60019	2230
1157	60068	2178
1158	60117	2126
1159	60172	2074
1160	60216	2022
1161	60276	1971
1162	60336	1919
1163	60379	1867
1164	60430	1815
1165	60492	1763
1166	60540	1711
1167	60590	1660
1168	60641	1608
1169	60689	1556
1170	60736	1504
1171	60780	1452
1172	60841	1400
1173	60893	1348
1174	60946	1296
1175	60992	1244
1176	61042	1192
1177	61100	1141
1178	61154	1089
1179	61199	1037
1180	61257	985
1181	61309	933
1182	61368	881
1183	61434	830
1184	61491	778
1185	61543	726
1186	61594	674
1187	61643	622
1188	61697	570
1189	61747	518
1190	61802	467
1191	61855	415
1192	61908	363
1193	61958	311
1194	62013	259
1195	62065	207
1196	62122	155
1197	62179	103
1198	62234	51
1199	62278	0
